Flybase_ID	Annotation_Symbol	Name	Symbol
FBgn0029920	CR4575	-	CR4575
FBgn0014179	CG12245	glial cells missing	gcm
FBgn0052121	CG32121	-	CG32121
FBgn0037317	CG14667	-	CG14667
FBgn0014018	CG11992	Relish	Rel
FBgn0034599	CG9437	hinge1	hng1
FBgn0036791	CG7271	-	CG7271
FBgn0030005	CG2120	-	CG2120
FBgn0016917	CG4257	Signal-transducer and activator of transcription protein at 92E	Stat92E
FBgn0026058	CG6352	Ods-site homeobox	OdsH
FBgn0031023	CG14200	-	CG14200
FBgn0001297	CG33956	kayak	kay
FBgn0038767	CG4413	trade embargo	trem
FBgn0041092	CG13109	taiman	tai
FBgn0037931	CG18476	-	CG18476
FBgn0000018	CG6093	abnormal oocyte	abo
FBgn0263490	CG34100	molting defective	mld
FBgn0085396	CG34367	-	CG34367
FBgn0038016	CG10042	MBD-R2	MBD-R2
FBgn0030787	CG9609	-	CG9609
FBgn0032707	CG10348	-	CG10348
FBgn0027453	CG6627	DNZDHHC/NEW1 zinc finger protein 11	Dnz1
FBgn0260243	CG11971	Enhancer of variegation 3-9	E(var)3-9
FBgn0051642	CG31642	-	CG31642
FBgn0035690	CG10274	-	CG10274
FBgn0005638	CG4354	slow border cells	slbo
FBgn0005596	CG14513	yemanuclein	yem
FBgn0032130	CG3838	brickwall	brwl
FBgn0016694	CG17888	PAR-domain protein 1	Pdp1
FBgn0027866	CG9776	-	CG9776
FBgn0013753	CG7959	Big brother	Bgb
FBgn0038550	CG17801	-	CG17801
FBgn0039039	CG4677	lame duck	lmd
FBgn0288433	CG42702	Lobe	L
FBgn0034729	CG10344	-	CG10344
FBgn0043001	CG15736	Chromatin accessibility complex 16kD protein	Chrac-16
FBgn0035481	CG12605	-	CG12605
FBgn0016754	CG13598	six-banded	sba
FBgn0038549	CG17802	Nicknack	Nnk
FBgn0261885	CG7467	osa	osa
FBgn0005561	CG11049	shaven	sv
FBgn0036124	CG7839	-	CG7839
FBgn0015904	CG10571	araucan	ara
FBgn0003607	CG8409	Suppressor of variegation 205	Su(var)205
FBgn0035137	CG1233	-	CG1233
FBgn0001222	CG5748	Heat shock factor	Hsf
FBgn0030314	CG11696	-	CG11696
FBgn0000212	CG5942	brahma	brm
FBgn0035405	CG15812	-	CG15812
FBgn0031610	CG15436	Parkin Interacting Substrate	Paris
FBgn0039370	CG4956	-	CG4956
FBgn0039044	CG33336	p53	p53
FBgn0032209	CG18144	Hand	Hand
FBgn0015561	CG1650	unplugged	unpg
FBgn0011236	CG5575	ken and barbie	ken
FBgn0003866	CG1374	teashirt	tsh
FBgn0032295	CG12299	-	CG12299
FBgn0015805	CG7471	Histone deacetylase 1	HDAC1
FBgn0039860	CG1792	-	CG1792
FBgn0029504	CG12690	Checkpoint suppressor 1-like	CHES-1-like
FBgn0022959	CG5654	ypsilon schachtel	yps
FBgn0032979	CG1832	Chromatin-linked adaptor for MSL proteins	Clamp
FBgn0261723	CG42234	Dbx	Dbx
FBgn0035625	CG5249	Blimp-1	Blimp-1
FBgn0038547	CG17803	-	CG17803
FBgn0004858	CG4220	elbow B	elB
FBgn0037698	CG16779	-	CG16779
FBgn0001150	CG7952	giant	gt
FBgn0031495	CG17257	beta4GalNAcTB pilot	GABPI
FBgn0265623	CG3905	Suppressor of zeste 2	Su(z)2
FBgn0086758	CG31666	Chronologically inappropriate morphogenesis	chinmo
FBgn0262477	CG43067	Forkhead box P	FoxP
FBgn0085451	CG34422	hat-trick	htk
FBgn0005771	CG4491	no ocelli	noc
FBgn0264562	CG43934	Hormone receptor 4	Hr4
FBgn0017578	CG9648	Max	Max
FBgn0085405	CG34376	-	CG34376
FBgn0008651	CG6570	ladybird late	lbl
FBgn0005612	CG3090	Sox box protein 14	Sox14
FBgn0005613	CG8404	Sox box protein 15	Sox15
FBgn0004897	CG11921	forkhead domain 96Ca	fd96Ca
FBgn0266410	CG45050	-	CG45050
FBgn0002733	CG14548	Enhancer of split mbeta, helix-loop-helix	E(spl)mbeta-HLH
FBgn0011763	CG4654	DP transcription factor	Dp
FBgn0034726	CG11301	DNA polymerase epsilon subunit 4	PolE4
FBgn0264005	CG43748	H6-like-homeobox	Hmx
FBgn0262160	CG9932	-	CG9932
FBgn0036538	CG15715	-	CG15715
FBgn0259162	CG42267	Runt related B	RunxB
FBgn0032202	CG18619	REPTOR-binding partner	REPTOR-BP
FBgn0051224	CG31224	-	CG31224
FBgn0029895	CG14441	-	CG14441
FBgn0026573	CG8290	ADD domain-containing protein 1	ADD1
FBgn0001169	CG5460	Hairless	H
FBgn0004795	CG5403	retained	retn
FBgn0053557	CG33557	-	CG33557
FBgn0263772	CG43689	-	CG43689
FBgn0035357	CG1244	MEP-1	MEP-1
FBgn0032816	CG10447	Nuclear factor Y-box B	Nf-YB
FBgn0037672	CG12952	salivary gland-expressed bHLH	sage
FBgn0037085	CG7204	Neuroectoderm-expressed 2	Neu2
FBgn0004837	CG3497	Suppressor of Hairless	Su(H)
FBgn0035769	CG8591	CTCF	CTCF
FBgn0026411	CG11354	LIM homeobox 1	Lim1
FBgn0001291	CG2275	Jun-related antigen	Jra
FBgn0036661	CG9705	-	CG9705
FBgn0037920	CG14710	-	CG14710
FBgn0030963	CG7101	-	CG7101
FBgn0005624	CG3886	Posterior sex combs	Psc
FBgn0033183	CG1620	-	CG1620
FBgn0020912	CG1447	Ptx1	Ptx1
FBgn0034057	CG8314	-	CG8314
FBgn0028878	CG15269	-	CG15269
FBgn0015240	CG11783	Hormone receptor-like in 96	Hr96
FBgn0028926	CG4185	Negative Cofactor 2beta	NC2beta
FBgn0263118	CG5441	taxi	tx
FBgn0015903	CG5393	apontic	apt
FBgn0037183	CG14451	-	CG14451
FBgn0034217	CG18468	Lethal hybrid rescue	Lhr
FBgn0004607	CG1449	Zn finger homeodomain 2	zfh2
FBgn0000022	CG3796	achaete	ac
FBgn0051955	CG31955	-	CG31955
FBgn0001078	CG4059	ftz transcription factor 1	ftz-f1
FBgn0036522	CG7372	Phaser	Phs
FBgn0038768	CG4936	-	CG4936
FBgn0038978	CG7045	testis-enriched HMG-box-containing protein 1	tHMG1
FBgn0001206	CG1619	Hybrid male rescue	Hmr
FBgn0261679	CG42726	-	CG42726
FBgn0027599	CG2790	-	CG2790
FBgn0265784    	CG6103	Cyclic-AMP response element binding protein B	CrebB
FBgn0035213	CG2199	-	CG2199
FBgn0003460	CG11121	sine oculis	so
FBgn0039369	CG17195	-	CG17195
FBgn0011278	CG6545	ladybird early	lbe
FBgn0002723	CG1705	Methoprene-tolerant	Met
FBgn0264490	CG18389	Ecdysone-induced protein 93F	Eip93F
FBgn0259211	CG42311	grainy head	grh
FBgn0002914	CG9045	Myb oncogene-like	Myb
FBgn0016660	CG6604	H15	H15
FBgn0030878	CG6769	-	CG6769
FBgn0001990	CG4148	weckle	wek
FBgn0038047	CG5245	-	CG5245
FBgn0004050	CG7803	zeste	z
FBgn0033010	CG3136	Atf6	Atf6
FBgn0036396	CG17359	-	CG17359
FBgn0034667	CG13493	cookie monster	comr
FBgn0040355	CG3526	-	CG3526
FBgn0034012	CG16801	Hormone receptor 51	Hr51
FBgn0037051	CG10565	-	CG10565
FBgn0041111	CG8817	lilliputian	lilli
FBgn0035144	CG17181	Kahuli	Kah
FBgn0003459	CG3836	stonewall	stwl
FBgn0038039	CG5196	-	CG5196
FBgn0030455	CG4318	-	CG4318
FBgn0034650	CG10318	Negative Cofactor 2alpha	NC2alpha
FBgn0028895	CG17328	-	CG17328
FBgn0036004	CG3654	Jumonji, AT rich interactive domain 2	Jarid2
FBgn0030009	CG15336	-	CG15336
FBgn0263240	CG1621	Corepressor of Pangolin	Coop
FBgn0015524	CG10036	orthopedia	otp
FBgn0040918	CG3576	schlank	schlank
FBgn0023094	CG8727	cycle	cyc
FBgn0035691	CG7386	-	CG7386
FBgn0001168	CG6494	hairy	h
FBgn0037540	CG2702	PSEA-binding protein 95kD	Pbp95
FBgn0004859	CG2125	cubitus interruptus	ci
FBgn0039367	CG17197	-	CG17197
FBgn0002561	CG3839	lethal of scute	l(1)sc
FBgn0030408	CG11085	-	CG11085
FBgn0022699	CG10270	D19B	D19B
FBgn0004870	CG9097	bric a brac 1	bab1
FBgn0040929	CG12659	-	CG12659
FBgn0004880	CG1130	scratch	scrt
FBgn0051632	CG31632	senseless-2	sens-2
FBgn0033627	CG13204	-	CG13204
FBgn0037815	CG4043	Rrp46	Rrp46
FBgn0029928	CG3032	-	CG3032
FBgn0024371	CG1071	E2F transcription factor 2	E2f2
FBgn0025679	CG2932	Kruppel-like factor 15	Klf15
FBgn0034202	CG17287	-	CG17287
FBgn0029824	CG3726	-	CG3726
FBgn0000568	CG8127	Ecdysone-induced protein 75B	Eip75B
FBgn0004865	CG18023	Ecdysone-induced protein 78C	Eip78C
FBgn0000625	CG10488	eyegone	eyg
FBgn0051441	CG31441	-	CG31441
FBgn0051612	CG31612	-	CG31612
FBgn0000137	CG3258	asense	ase
FBgn0265193	CG44246	Activating transcription factor-2	Atf-2
FBgn0000520	CG2711	deformed wings	dwg
FBgn0030058	CG11294	-	CG11294
FBgn0036294	CG10654	-	CG10654
FBgn0267978	CG8376	apterous	ap
FBgn0038741	CG17186	-	CG17186
FBgn0032815	CG10462	-	CG10462
FBgn0052772	CG32772	-	CG32772
FBgn0020307	CG5799	defective proventriculus	dve
FBgn0022740	CG5005	HLH54F	HLH54F
FBgn0025525	CG9102	bric a brac 2	bab2
FBgn0033581	CG12391	-	CG12391
FBgn0038805	CG4217	mitochondrial transcription factor A	TFAM
FBgn0024244	CG10016	drumstick	drm
FBgn0033993	CG8089	-	CG8089
FBgn0002922	CG10250	nautilus	nau
FBgn0003002	CG1133	odd paired	opa
FBgn0033185	CG1603	-	CG1603
FBgn0032600	CG17912	Bub3 interacting GLEBS and Zinc finger domain protein	BuGZ
FBgn0038128	CG15889	Ravus	Ravus
FBgn0002985	CG3851	odd skipped	odd
FBgn0038244	CG7987	-	CG7987
FBgn0035849	CG7404	estrogen-related receptor	ERR
FBgn0028996	CG1922	onecut	onecut
FBgn0033459	CG12744	-	CG12744
FBgn0278608	CG12223	Dorsal switch protein 1	Dsp1
FBgn0000560	CG7383	eagle	eg
FBgn0004854	CG5488	BarH2	B-H2
FBgn0000459	CG9908	disconnected	disco
FBgn0037923	CG6813	-	CG6813
FBgn0033934	CG17385	-	CG17385
FBgn0045759	CG18647	biniou	bin
FBgn0032858	CG10949	-	CG10949
FBgn0039740	CG7928	Zinc-finger protein interacting with CP190	ZIPIC
FBgn0000139	CG6677	absent, small, or homeotic discs 2	ash2
FBgn0004896	CG3668	forkhead domain 59A	fd59A
FBgn0003448	CG3956	snail	sna
FBgn0014859	CG1864	Hormone receptor-like in 38	Hr38
FBgn0002780	CG2050	modulo	mod
FBgn0261573	CG42687	CoRest	CoRest
FBgn0004394	CG12287	POU domain protein 2	pdm2
FBgn0001323	CG4761	knirps-like	knrl
FBgn0045852	CG31753	hamlet	ham
FBgn0039932	CG11093	fussel	fuss
FBgn0034878	CG3941	pita	pita
FBgn0002573	CG32120	senseless	sens
FBgn0260741	CG3281	-	CG3281
FBgn0030933	CG6470	-	CG6470
FBgn0040318	CG13475	HGTX	HGTX
FBgn0038626	CG7691	-	CG7691
FBgn0261703	CG42739	germ cell-expressed bHLH-PAS	gce
FBgn0015550	CG7659	target of Poxn	tap
FBgn0043796	CG12219	-	CG12219
FBgn0034062	CG8388	-	CG8388
FBgn0010323	CG2851	Goosecoid	Gsc
FBgn0034534	CG9954	maf-S	maf-S
FBgn0029822	CG12236	-	CG12236
FBgn0003334	CG9495	Sex comb on midleg	Scm
FBgn0287186	CG17594	scarecrow	scro
FBgn0004362	CG17950	High mobility group protein D	HmgD
FBgn0000448	CG33183	Hormone receptor 3	Hr3
FBgn0034240	CG4903	Misexpression suppressor of ras 4	MESR4
FBgn0013263	CG33261	Trithorax-like	Trl
FBgn0001170	CG11607	Homeodomain protein 2.0	H2.0
FBgn0002576	CG1689	lozenge	lz
FBgn0008636	CG33152	homeobrain	hbn
FBgn0034643	CG10321	-	CG10321
FBgn0003598	CG8599	Suppressor of variegation 3-7	Su(var)3-7
FBgn0027339	CG11352	jim	jim
FBgn0027514	CG1024	-	CG1024
FBgn0031573	CG3407	-	CG3407
FBgn0031144	CG1529	-	CG1529
FBgn0000543	CG5714	ecdysoneless	ecd
FBgn0036395	CG17361	-	CG17361
FBgn0051365	CG31365	-	CG31365
FBgn0263511	CG4136	Visual system homeobox 1	Vsx1
FBgn0037634	CG8359	hinge2	hng2
FBgn0028531	CG15286	-	CG15286
FBgn0052006	CG32006	-	CG32006
FBgn0031232	CG11617	-	CG11617
FBgn0001983	CG4158	worniu	wor
FBgn0037655	CG11984	Potassium channel modulatory factor 1	Kcmf1
FBgn0259938	CG17100	clockwork orange	cwo
FBgn0002931	CG11450	net	net
FBgn0038402	CG5952	48 related 2	Fer2
FBgn0030008	CG2129	-	CG2129
FBgn0037918	CG6791	-	CG6791
FBgn0001319	CG10197	knot	kn
FBgn0001185	CG4694	hermaphrodite	her
FBgn0039816	CG11317	-	CG11317
FBgn0030082	CG7041	Heterochromatin Protein 1b	HP1b
FBgn0052767	CG32767	-	CG32767
FBgn0267336	CG34360	Glucose transporter 4 enhancer factor	Glut4EF
FBgn0000166	CG1034	bicoid	bcd
FBgn0002735	CG8333	Enhancer of split mgamma, helix-loop-helix	E(spl)mgamma-HLH
FBgn0037877	CG6689	-	CG6689
FBgn0051388	CG31388	-	CG31388
FBgn0003068	CG2647	period	per
FBgn0030240	CG2202	-	CG2202
FBgn0002609	CG8346	Enhancer of split m3, helix-loop-helix	E(spl)m3-HLH
FBgn0032401	CG6792	Promyelocytic leukemia zinc finger	Plzf
FBgn0037794	CG6254	-	CG6254
FBgn0030003	CG2116	-	CG2116
FBgn0035954	CG5093	Dorsocross3	Doc3
FBgn0086350	CG8961	teflon	tef
FBgn0003411	CG1641	sisterless A	sisA
FBgn0051835	CG31835	-	CG31835
FBgn0025635	CG17829	Histone H4 transcription factor	Hinfp
FBgn0031608	CG15435	-	CG15435
FBgn0261434	CG9768	huckebein	hkb
FBgn0086655	CG9397	jing	jing
FBgn0261617	CG15319	nejire	nej
FBgn0039329	CG10669	-	CG10669
FBgn0037475	CG33323	48 related 1	Fer1
FBgn0033971	CG10209	-	CG10209
FBgn0004110	CG7895	tinman	tin
FBgn0028887	CG3491	-	CG3491
FBgn0030065	CG12075	-	CG12075
FBgn0260789	CG12124	multi sex combs	mxc
FBgn0037620	CG9793	ranshi	ranshi
FBgn0263512	CG33980	Visual system homeobox 2	Vsx2
FBgn0086680	CG10037	ventral veins lacking	vvl
FBgn0038301	CG6654	-	CG6654
FBgn0037584	CG7963	-	CG7963
FBgn0032517	CG7099	-	CG7099
FBgn0000376	CG2714	cramped	crm
FBgn0032321	CG4621	YL-1	YL-1
FBgn0259789	CG12701	zelda	zld
FBgn0028999	CG13906	nervous fingers 1	nerfin-1
FBgn0024184	CG6269	unc-4	unc-4
FBgn0037618	CG11762	ouija board	ouib
FBgn0010328	CG5965	without children	woc
FBgn0000492	CG1897	Drop	Dr
FBgn0036411	CG7345	Sox21a	Sox21a
FBgn0031759	CG9088	Lysine demethylase 5	Kdm5
FBgn0035997	CG3445	pleiohomeotic like	phol
FBgn0033749	CG8819	achintya	achi
FBgn0015396	CG4029	jumeau	jumu
FBgn0024249	CG7760	cousin of atonal	cato
FBgn0052296	CG32296	Myocardin-related transcription factor	Mrtf
FBgn0051510	CG31510	-	CG31510
FBgn0010228	CG17921	HMG protein Z	HmgZ
FBgn0038765	CG4424	-	CG4424
FBgn0040366	CG11398	-	CG11398
FBgn0033186	CG1602	-	CG1602
FBgn0020379	CG6312	Rfx	Rfx
FBgn0034425	CG11906	-	CG11906
FBgn0034946	CG3065	-	CG3065
FBgn0262519	CG8103	Mi-2	Mi-2
FBgn0033458	CG18446	Linking immunity and metabolism	Lime
FBgn0264442	CG43860	abrupt	ab
FBgn0263239	CG12029	dendritic arbor reduction 1	dar1
FBgn0002631	CG6096	Enhancer of split m5, helix-loop-helix	E(spl)m5-HLH
FBgn0266411	CG45051	similar	sima
FBgn0001269	CG17835	invected	inv
FBgn0033474	CG1407	-	CG1407
FBgn0032473	CG5204	kumgang	kmg
FBgn0262582	CG43122	capicua	cic
FBgn0027950	CG8208	Methyl-CpG binding domain protein-like	MBD-like
FBgn0259785	CG7752	putzig	pzg
FBgn0037379	CG10979	-	CG10979
FBgn0283521	CG12052	longitudinals lacking	lola
FBgn0039530	CG5586	Tusp	Tusp
FBgn0262139	CG42865	trachealess	trh
FBgn0039683	CG15504	doublesex-Mab related 99B	dmrt99B
FBgn0000157	CG3629	Distal-less	Dll
FBgn0038852	CG7056	Hematopoietically expressed homeobox	HHEX
FBgn0005642	CG1454	wings down	wdn
FBgn0037031	CG11456	-	CG11456
FBgn0037751	CG8484	matotopetli	topi
FBgn0020309	CG14938	crooked legs	crol
